,0
t2m,0.04888321766240323
tp,0.03843112702243287
msl,0.011472663340534428
v10,0.011074251833295964
u10,0.02128296465692579
EAWR,0.03503089975273314
SCAN,0.05295835924843299
NAO,0.04362260003499333
EA,0.030449470431150604
u250,0.013913684057390055
u850,0.016853936606438986
u500,0.013026836388297328
u700,0.021868701249948556
u1000,0.018831660624105042
v250,0.02126222416867655
v850,0.016623369250071643
v500,0.015117120962705021
v700,0.015997721197010546
v1000,0.011232246432399786
r250,0.015253071622971846
r850,0.015876945253846773
r500,0.014658360029470602
r700,0.013861053086092959
r1000,0.015151820238927768
z250,0.023676560164602338
z500,0.019145920385626642
z700,0.013683491294888417
z850,0.009245140318265156
z1000,0.010274048604820464
t250,0.02601058553357283
t850,0.12310894083799284
t500,0.0853416196743121
t700,0.032247796361148245
t1000,0.04851724701011529
dtd250,0.019412586461397548
dtd850,0.012170154123693874
dtd500,0.015887444256842354
dtd700,0.01565231752585876
dtd1000,0.012891842295607527
