Station,Freiburg
Latitude,48.0232
Longitude,7.8343
Elevation,236.0
,
Time,Precipitation
1958-01-01,77.9
1958-02-01,127.3
1958-03-01,34.1
1958-04-01,59.1
1958-05-01,104.3
1958-06-01,134.8
1958-07-01,95.5
1958-08-01,129.9
1958-09-01,134.7
1958-10-01,78.6
1958-11-01,68.3
1958-12-01,64.1
1959-01-01,86.9
1959-02-01,6.6
1959-03-01,89.5
1959-04-01,91.5
1959-05-01,43.0
1959-06-01,106.7
1959-07-01,29.4
1959-08-01,62.9
1959-09-01,36.6
1959-10-01,94.3
1959-11-01,43.6
1959-12-01,43.7
1960-01-01,54.5
1960-02-01,80.3
1960-03-01,40.2
1960-04-01,32.8
1960-05-01,59.7
1960-06-01,218.6
1960-07-01,115.5
1960-08-01,105.9
1960-09-01,56.9
1960-10-01,108.8
1960-11-01,99.3
1960-12-01,40.7
1961-01-01,62.5
1961-02-01,42.0
1961-03-01,27.5
1961-04-01,87.9
1961-05-01,108.6
1961-06-01,139.3
1961-07-01,160.6
1961-08-01,88.6
1961-09-01,43.9
1961-10-01,78.0
1961-11-01,43.7
1961-12-01,63.3
1962-01-01,86.0
1962-02-01,46.4
1962-03-01,91.7
1962-04-01,70.8
1962-05-01,91.2
1962-06-01,50.5
1962-07-01,64.5
1962-08-01,82.3
1962-09-01,68.8
1962-10-01,22.1
1962-11-01,27.1
1962-12-01,54.6
1963-01-01,30.5
1963-02-01,38.7
1963-03-01,64.1
1963-04-01,43.7
1963-05-01,84.0
1963-06-01,134.9
1963-07-01,82.9
1963-08-01,288.9
1963-09-01,28.9
1963-10-01,30.9
1963-11-01,117.8
1963-12-01,1.9
1964-01-01,18.7
1964-02-01,44.6
1964-03-01,123.1
1964-04-01,74.1
1964-05-01,133.8
1964-06-01,52.4
1964-07-01,35.7
1964-08-01,61.4
1964-09-01,60.1
1964-10-01,60.4
1964-11-01,70.8
1964-12-01,32.4
1965-01-01,94.7
1965-02-01,42.8
1965-03-01,98.6
1965-04-01,116.3
1965-05-01,177.7
1965-06-01,115.1
1965-07-01,115.8
1965-08-01,71.7
1965-09-01,127.7
1965-10-01,19.5
1965-11-01,124.8
1965-12-01,120.1
1966-01-01,54.8
1966-02-01,66.3
1966-03-01,95.7
1966-04-01,95.7
1966-05-01,73.2
1966-06-01,144.2
1966-07-01,97.8
1966-08-01,171.8
1966-09-01,33.9
1966-10-01,79.8
1966-11-01,57.6
1966-12-01,97.6
1967-01-01,58.2
1967-02-01,24.8
1967-03-01,77.3
1967-04-01,29.5
1967-05-01,99.9
1967-06-01,120.8
1967-07-01,35.0
1967-08-01,119.6
1967-09-01,136.0
1967-10-01,40.0
1967-11-01,95.5
1967-12-01,50.8
1968-01-01,86.2
1968-02-01,77.3
1968-03-01,36.1
1968-04-01,152.9
1968-05-01,126.8
1968-06-01,75.6
1968-07-01,99.8
1968-08-01,203.3
1968-09-01,157.6
1968-10-01,32.8
1968-11-01,47.6
1968-12-01,33.3
1969-01-01,48.8
1969-02-01,51.7
1969-03-01,46.6
1969-04-01,106.6
1969-05-01,106.1
1969-06-01,173.2
1969-07-01,96.4
1969-08-01,124.0
1969-09-01,22.1
1969-10-01,14.9
1969-11-01,99.7
1969-12-01,60.4
1970-01-01,96.2
1970-02-01,106.0
1970-03-01,44.5
1970-04-01,99.0
1970-05-01,146.7
1970-06-01,163.5
1970-07-01,79.2
1970-08-01,67.3
1970-09-01,78.1
1970-10-01,59.0
1970-11-01,87.6
1970-12-01,27.7
1971-01-01,11.8
1971-02-01,31.9
1971-03-01,63.6
1971-04-01,45.0
1971-05-01,39.7
1971-06-01,170.0
1971-07-01,58.2
1971-08-01,121.7
1971-09-01,27.2
1971-10-01,20.6
1971-11-01,66.7
1971-12-01,26.0
1972-01-01,33.3
1972-02-01,22.5
1972-03-01,28.6
1972-04-01,83.0
1972-05-01,58.1
1972-06-01,149.5
1972-07-01,118.7
1972-08-01,35.7
1972-09-01,16.6
1972-10-01,37.6
1972-11-01,143.9
1972-12-01,45.2
1973-01-01,31.6
1973-02-01,57.0
1973-03-01,31.4
1973-04-01,108.6
1973-05-01,101.2
1973-06-01,152.1
1973-07-01,95.7
1973-08-01,67.5
1973-09-01,23.5
1973-10-01,85.4
1973-11-01,106.0
1973-12-01,40.3
1974-01-01,44.2
1974-02-01,65.2
1974-03-01,49.9
1974-04-01,33.3
1974-05-01,120.7
1974-06-01,107.3
1974-07-01,119.2
1974-08-01,78.3
1974-09-01,57.4
1974-10-01,172.2
1974-11-01,66.9
1974-12-01,77.0
1975-01-01,85.7
1975-02-01,26.3
1975-03-01,49.0
1975-04-01,61.4
1975-05-01,58.8
1975-06-01,196.3
1975-07-01,60.7
1975-08-01,197.8
1975-09-01,89.5
1975-10-01,37.5
1975-11-01,110.7
1975-12-01,26.3
1976-01-01,68.9
1976-02-01,34.1
1976-03-01,19.5
1976-04-01,46.7
1976-05-01,71.6
1976-06-01,25.4
1976-07-01,132.0
1976-08-01,29.6
1976-09-01,92.6
1976-10-01,49.3
1976-11-01,68.6
1976-12-01,82.0
