Station,Konstanz
Latitude,47.6952
Longitude,9.1307
Elevation,428.0
,
Time,Precipitation
1958-01-01,77.6
1958-02-01,158.1
1958-03-01,20.7
1958-04-01,77.4
1958-05-01,99.5
1958-06-01,85.8
1958-07-01,110.9
1958-08-01,95.2
1958-09-01,56.7
1958-10-01,97.2
1958-11-01,42.3
1958-12-01,75.9
1959-01-01,121.0
1959-02-01,1.7
1959-03-01,53.1
1959-04-01,49.2
1959-05-01,104.5
1959-06-01,137.3
1959-07-01,54.6
1959-08-01,88.0
1959-09-01,37.6
1959-10-01,79.0
1959-11-01,40.2
1959-12-01,85.9
1960-01-01,46.3
1960-02-01,70.6
1960-03-01,40.8
1960-04-01,53.9
1960-05-01,92.8
1960-06-01,98.5
1960-07-01,104.6
1960-08-01,124.5
1960-09-01,54.7
1960-10-01,96.2
1960-11-01,62.8
1960-12-01,37.4
1961-01-01,53.7
1961-02-01,40.5
1961-03-01,27.7
1961-04-01,57.2
1961-05-01,131.7
1961-06-01,73.5
1961-07-01,92.3
1961-08-01,106.8
1961-09-01,29.1
1961-10-01,43.2
1961-11-01,21.7
1961-12-01,74.2
1962-01-01,105.6
1962-02-01,63.3
1962-03-01,58.5
1962-04-01,28.3
1962-05-01,96.0
1962-06-01,78.1
1962-07-01,60.7
1962-08-01,77.3
1962-09-01,46.0
1962-10-01,9.3
1962-11-01,17.7
1962-12-01,55.0
1963-01-01,27.3
1963-02-01,35.9
1963-03-01,79.9
1963-04-01,59.5
1963-05-01,73.3
1963-06-01,99.4
1963-07-01,59.2
1963-08-01,90.8
1963-09-01,60.2
1963-10-01,54.5
1963-11-01,94.8
1963-12-01,1.9
1964-01-01,26.3
1964-02-01,24.1
1964-03-01,114.7
1964-04-01,59.3
1964-05-01,105.7
1964-06-01,34.5
1964-07-01,50.0
1964-08-01,100.3
1964-09-01,62.4
1964-10-01,75.2
1964-11-01,62.2
1964-12-01,27.6
1965-01-01,52.4
1965-02-01,29.2
1965-03-01,71.4
1965-04-01,101.7
1965-05-01,171.2
1965-06-01,149.1
1965-07-01,121.0
1965-08-01,41.9
1965-09-01,95.2
1965-10-01,7.4
1965-11-01,138.1
1965-12-01,134.8
1966-01-01,76.6
1966-02-01,86.5
1966-03-01,49.2
1966-04-01,71.5
1966-05-01,72.4
1966-06-01,83.4
1966-07-01,152.5
1966-08-01,131.6
1966-09-01,21.8
1966-10-01,54.7
1966-11-01,94.6
1966-12-01,90.8
1967-01-01,44.6
1967-02-01,38.7
1967-03-01,64.2
1967-04-01,22.9
1967-05-01,108.8
1967-06-01,144.3
1967-07-01,75.2
1967-08-01,78.8
1967-09-01,139.6
1967-10-01,32.5
1967-11-01,45.5
1967-12-01,48.9
1968-01-01,86.6
1968-02-01,45.5
1968-03-01,36.6
1968-04-01,55.8
1968-05-01,59.0
1968-06-01,45.1
1968-07-01,75.6
1968-08-01,107.5
1968-09-01,181.3
1968-10-01,23.2
1968-11-01,12.8
1968-12-01,31.2
1969-01-01,27.3
1969-02-01,31.1
1969-03-01,44.3
1969-04-01,56.2
1969-05-01,49.3
1969-06-01,143.1
1969-07-01,124.1
1969-08-01,130.4
1969-09-01,42.3
1969-10-01,7.9
1969-11-01,96.3
1969-12-01,67.1
1970-01-01,54.8
1970-02-01,179.6
1970-03-01,28.2
1970-04-01,115.0
1970-05-01,103.4
1970-06-01,64.8
1970-07-01,68.7
1970-08-01,120.2
1970-09-01,33.5
1970-10-01,51.9
1970-11-01,46.5
1970-12-01,23.0
1971-01-01,38.9
1971-02-01,26.5
1971-03-01,24.9
1971-04-01,27.1
1971-05-01,31.5
1971-06-01,138.1
1971-07-01,67.5
1971-08-01,97.6
1971-09-01,29.8
1971-10-01,20.9
1971-11-01,67.3
1971-12-01,29.8
1972-01-01,19.3
1972-02-01,7.8
1972-03-01,13.5
1972-04-01,98.4
1972-05-01,50.2
1972-06-01,88.8
1972-07-01,143.1
1972-08-01,31.8
1972-09-01,36.6
1972-10-01,31.1
1972-11-01,180.8
1972-12-01,16.9
1973-01-01,25.6
1973-02-01,40.7
1973-03-01,26.0
1973-04-01,60.9
1973-05-01,53.4
1973-06-01,109.3
1973-07-01,212.8
1973-08-01,28.8
1973-09-01,49.9
1973-10-01,107.6
1973-11-01,80.6
1973-12-01,42.6
1974-01-01,33.4
1974-02-01,62.8
1974-03-01,32.4
1974-04-01,28.3
1974-05-01,94.2
1974-06-01,112.8
1974-07-01,110.0
1974-08-01,80.9
1974-09-01,92.0
1974-10-01,93.6
1974-11-01,64.2
1974-12-01,76.7
1975-01-01,36.0
1975-02-01,19.4
1975-03-01,41.2
1975-04-01,71.7
1975-05-01,76.6
1975-06-01,229.5
1975-07-01,64.2
1975-08-01,183.7
1975-09-01,110.4
1975-10-01,39.8
1975-11-01,82.1
1975-12-01,9.5
1976-01-01,35.0
1976-02-01,24.9
1976-03-01,18.6
1976-04-01,62.3
1976-05-01,70.2
1976-06-01,68.4
1976-07-01,190.1
1976-08-01,36.4
1976-09-01,75.0
1976-10-01,46.2
1976-11-01,57.4
1976-12-01,58.8
1977-01-01,62.3
1977-02-01,86.6
1977-03-01,56.9
1977-04-01,121.5
1977-05-01,49.3
1977-06-01,127.1
1977-07-01,113.1
1977-08-01,75.3
1977-09-01,25.5
1977-10-01,57.7
1977-11-01,58.3
1977-12-01,45.3
1978-01-01,51.2
1978-02-01,85.5
1978-03-01,97.5
1978-04-01,43.3
1978-05-01,143.5
1978-06-01,110.4
1978-07-01,94.5
1978-08-01,173.8
1978-09-01,45.1
1978-10-01,76.6
1978-11-01,13.7
1978-12-01,89.2
1979-01-01,70.6
1979-02-01,77.7
1979-03-01,65.6
1979-04-01,97.2
1979-05-01,42.0
1979-06-01,124.8
1979-07-01,73.6
1979-08-01,82.1
1979-09-01,108.0
1979-10-01,50.0
1979-11-01,107.8
1979-12-01,83.5
1980-01-01,72.0
1980-02-01,57.0
1980-03-01,44.7
1980-04-01,74.9
1980-05-01,77.4
1980-06-01,116.3
1980-07-01,95.3
1980-08-01,42.2
1980-09-01,29.1
1980-10-01,96.7
1980-11-01,44.4
1980-12-01,37.5
1981-01-01,64.1
1981-02-01,32.3
1981-03-01,55.7
1981-04-01,21.0
1981-05-01,105.1
1981-06-01,51.2
1981-07-01,99.2
1981-08-01,56.2
1981-09-01,154.5
1981-10-01,142.6
1981-11-01,47.8
1981-12-01,135.3
1982-01-01,96.5
1982-02-01,16.9
1982-03-01,45.9
1982-04-01,29.9
1982-05-01,40.8
1982-06-01,127.9
1982-07-01,157.8
1982-08-01,116.0
1982-09-01,55.7
1982-10-01,78.4
1982-11-01,41.4
1982-12-01,105.5
1983-01-01,48.6
1983-02-01,36.7
1983-03-01,41.8
1983-04-01,109.2
1983-05-01,115.9
1983-06-01,102.3
1983-07-01,17.9
1983-08-01,76.0
1983-09-01,72.8
1983-10-01,21.2
1983-11-01,48.7
1983-12-01,24.5
1984-01-01,78.2
1984-02-01,57.7
1984-03-01,14.9
1984-04-01,39.0
1984-05-01,126.1
1984-06-01,56.0
1984-07-01,107.2
1984-08-01,94.7
1984-09-01,165.4
1984-10-01,22.4
1984-11-01,56.7
1984-12-01,49.3
1985-01-01,62.0
1985-02-01,48.3
1985-03-01,34.5
1985-04-01,95.5
1985-05-01,89.5
1985-06-01,88.9
1985-07-01,38.8
1985-08-01,96.0
1985-09-01,31.9
1985-10-01,6.3
1985-11-01,107.4
1985-12-01,37.9
1986-01-01,86.3
1986-02-01,36.9
1986-03-01,52.9
1986-04-01,136.5
1986-05-01,111.3
1986-06-01,100.9
1986-07-01,138.3
1986-08-01,128.9
1986-09-01,35.8
1986-10-01,77.2
1986-11-01,34.7
1986-12-01,55.1
1987-01-01,36.3
1987-02-01,45.0
1987-03-01,59.0
1987-04-01,60.3
1987-05-01,117.9
1987-06-01,121.9
1987-07-01,80.9
1987-08-01,65.5
1987-09-01,118.7
1987-10-01,36.5
1987-11-01,50.0
1987-12-01,53.1
1988-01-01,42.2
1988-02-01,52.8
1988-03-01,115.9
1988-04-01,59.2
1988-05-01,80.1
1988-06-01,105.6
1988-07-01,114.9
1988-08-01,104.5
1988-09-01,72.6
1988-10-01,91.1
1988-11-01,48.9
1988-12-01,108.0
1989-01-01,9.6
1989-02-01,50.9
1989-03-01,38.1
1989-04-01,138.1
1989-05-01,39.4
1989-06-01,65.4
1989-07-01,177.1
1989-08-01,53.2
1989-09-01,38.1
1989-10-01,68.2
1989-11-01,35.8
1989-12-01,58.7
1990-01-01,33.8
1990-02-01,113.4
1990-03-01,50.8
1990-04-01,44.5
1990-05-01,95.4
1990-06-01,145.2
1990-07-01,81.0
1990-08-01,41.6
1990-09-01,71.2
1990-10-01,87.3
1990-11-01,98.9
1990-12-01,43.4
1991-01-01,35.7
1991-02-01,15.3
1991-03-01,54.9
1991-04-01,32.7
1991-05-01,100.3
1991-06-01,173.5
1991-07-01,48.6
1991-08-01,14.1
1991-09-01,80.2
1991-10-01,18.5
1991-11-01,101.3
1991-12-01,41.0
1992-01-01,14.3
1992-02-01,35.1
1992-03-01,78.7
1992-04-01,93.8
1992-05-01,15.1
1992-06-01,127.4
1992-07-01,97.7
1992-08-01,62.5
1992-09-01,32.5
1992-10-01,106.5
1992-11-01,145.4
1992-12-01,87.3
1993-01-01,35.8
1993-02-01,13.8
1993-03-01,24.5
1993-04-01,45.4
1993-05-01,34.2
1993-06-01,110.8
1993-07-01,204.3
1993-08-01,93.4
1993-09-01,69.8
1993-10-01,90.2
1993-11-01,37.4
1993-12-01,100.2
1994-01-01,51.1
1994-02-01,37.2
1994-03-01,43.4
1994-04-01,75.5
1994-05-01,142.5
1994-06-01,58.7
1994-07-01,76.9
1994-08-01,150.6
1994-09-01,71.9
1994-10-01,40.4
1994-11-01,39.4
1994-12-01,82.0
1995-01-01,80.4
1995-02-01,58.0
1995-03-01,68.1
1995-04-01,49.9
1995-05-01,173.9
1995-06-01,159.8
1995-07-01,68.1
1995-08-01,109.3
1995-09-01,56.1
1995-10-01,10.0
1995-11-01,88.9
1995-12-01,117.7
1996-01-01,2.7
1996-02-01,35.0
1996-03-01,35.3
1996-04-01,42.7
1996-05-01,66.4
1996-06-01,71.5
1996-07-01,114.1
1996-08-01,181.6
1996-09-01,37.7
1996-10-01,79.3
1996-11-01,89.2
1996-12-01,69.6
1997-01-01,1.9
1997-02-01,80.5
1997-03-01,24.2
1997-04-01,43.3
1997-05-01,60.0
1997-06-01,132.5
1997-07-01,119.5
1997-08-01,56.0
1997-09-01,31.7
1997-10-01,72.3
1997-11-01,15.3
1997-12-01,71.1
1998-01-01,54.5
1998-02-01,21.8
1998-03-01,59.9
1998-04-01,42.7
1998-05-01,24.0
1998-06-01,97.6
1998-07-01,85.1
1998-08-01,43.1
1998-09-01,159.4
1998-10-01,95.7
1998-11-01,71.5
1998-12-01,17.7
1999-01-01,30.6
1999-02-01,79.2
1999-03-01,50.7
1999-04-01,88.4
1999-05-01,185.2
1999-06-01,131.3
1999-07-01,65.8
1999-08-01,59.1
1999-09-01,57.9
1999-10-01,40.7
1999-11-01,80.6
1999-12-01,103.9
2000-01-01,14.6
2000-02-01,85.9
2000-03-01,43.8
2000-04-01,42.4
2000-05-01,56.4
2000-06-01,68.4
2000-07-01,135.7
2000-08-01,85.1
2000-09-01,114.0
2000-10-01,41.7
2000-11-01,70.3
2000-12-01,13.6
2001-01-01,67.9
2001-02-01,18.9
2001-03-01,145.6
2001-04-01,69.6
2001-05-01,72.0
2001-06-01,111.3
2001-07-01,60.9
2001-08-01,72.5
2001-09-01,122.3
2001-10-01,52.0
2001-11-01,64.9
2001-12-01,37.8
2002-01-01,6.9
2002-02-01,73.9
2002-03-01,63.8
2002-04-01,70.1
2002-05-01,114.7
2002-06-01,110.6
2002-07-01,89.0
2002-08-01,118.6
2002-09-01,112.7
2002-10-01,98.6
2002-11-01,116.5
2002-12-01,42.8
2003-01-01,54.8
2003-02-01,32.0
2003-03-01,16.1
