Station,Mannheim
Latitude,49.5063
Longitude,8.5584
Elevation,98.0
,
Time,Precipitation
1958-01-01,39.5
1958-02-01,85.1
1958-03-01,44.3
1958-04-01,18.8
1958-05-01,69.1
1958-06-01,131.6
1958-07-01,47.3
1958-08-01,157.6
1958-09-01,53.7
1958-10-01,56.2
1958-11-01,40.1
1958-12-01,67.7
1959-01-01,28.0
1959-02-01,0.6
1959-03-01,41.8
1959-04-01,40.5
1959-05-01,27.9
1959-06-01,84.3
1959-07-01,56.7
1959-08-01,60.8
1959-09-01,1.7
1959-10-01,63.4
1959-11-01,26.3
1959-12-01,29.9
1960-01-01,50.0
1960-02-01,42.0
1960-03-01,26.2
1960-04-01,26.5
1960-05-01,61.8
1960-06-01,32.7
1960-07-01,73.4
1960-08-01,103.7
1960-09-01,22.6
1960-10-01,83.5
1960-11-01,48.7
1960-12-01,60.2
1961-01-01,44.3
1961-02-01,30.3
1961-03-01,8.9
1961-04-01,81.6
1961-05-01,74.3
1961-06-01,148.1
1961-07-01,105.5
1961-08-01,55.1
1961-09-01,13.6
1961-10-01,47.9
1961-11-01,29.5
1961-12-01,51.4
1962-01-01,26.0
1962-02-01,53.4
1962-03-01,59.5
1962-04-01,43.1
1962-05-01,64.5
1962-06-01,38.3
1962-07-01,36.7
1962-08-01,28.2
1962-09-01,62.2
1962-10-01,16.3
1962-11-01,31.9
1962-12-01,34.9
1963-01-01,16.6
1963-02-01,17.2
1963-03-01,67.8
1963-04-01,34.3
1963-05-01,35.4
1963-06-01,50.5
1963-07-01,16.5
1963-08-01,98.0
1963-09-01,46.5
1963-10-01,41.9
1963-11-01,51.7
1963-12-01,3.5
1964-01-01,20.3
1964-02-01,27.0
1964-03-01,53.4
1964-04-01,41.8
1964-05-01,50.4
1964-06-01,29.6
1964-07-01,17.6
1964-08-01,43.7
1964-09-01,55.7
1964-10-01,23.8
1964-11-01,37.8
1964-12-01,23.0
1965-01-01,117.2
1965-02-01,23.5
1965-03-01,67.7
1965-04-01,81.5
1965-05-01,83.9
1965-06-01,119.8
1965-07-01,104.8
1965-08-01,53.3
1965-09-01,66.7
1965-10-01,6.3
1965-11-01,107.1
1965-12-01,112.4
1966-01-01,27.8
1966-02-01,46.9
1966-03-01,33.8
1966-04-01,62.0
1966-05-01,36.4
1966-06-01,106.8
1966-07-01,110.1
1966-08-01,123.1
1966-09-01,14.9
1966-10-01,70.7
1966-11-01,51.0
1966-12-01,81.1
1967-01-01,13.0
1967-02-01,33.8
1967-03-01,32.1
1967-04-01,38.8
1967-05-01,81.5
1967-06-01,38.3
1967-07-01,43.8
1967-08-01,53.5
1967-09-01,100.5
1967-10-01,72.5
1967-11-01,51.5
1967-12-01,48.8
1968-01-01,50.9
1968-02-01,65.3
1968-03-01,21.5
1968-04-01,81.2
1968-05-01,65.3
1968-06-01,87.6
1968-07-01,85.9
1968-08-01,183.6
1968-09-01,102.2
1968-10-01,44.2
1968-11-01,24.4
1968-12-01,30.4
1969-01-01,38.1
1969-02-01,53.2
1969-03-01,52.7
1969-04-01,61.0
1969-05-01,99.8
1969-06-01,86.8
1969-07-01,52.2
1969-08-01,110.2
1969-09-01,32.7
1969-10-01,5.4
1969-11-01,63.6
1969-12-01,22.6
1970-01-01,54.7
1970-02-01,104.0
1970-03-01,37.9
1970-04-01,62.8
1970-05-01,99.9
1970-06-01,41.5
1970-07-01,80.4
1970-08-01,40.0
1970-09-01,75.3
1970-10-01,26.5
1970-11-01,35.8
1970-12-01,38.7
1971-01-01,21.7
1971-02-01,25.9
1971-03-01,18.1
1971-04-01,33.5
1971-05-01,123.7
1971-06-01,97.7
1971-07-01,33.5
1971-08-01,47.8
1971-09-01,13.5
1971-10-01,17.8
1971-11-01,64.8
1971-12-01,17.3
1972-01-01,20.4
1972-02-01,6.8
1972-03-01,26.2
1972-04-01,55.9
1972-05-01,77.8
1972-06-01,102.9
1972-07-01,159.2
1972-08-01,124.3
1972-09-01,50.5
1972-10-01,29.6
1972-11-01,83.0
1972-12-01,13.5
1973-01-01,15.4
1973-02-01,29.0
1973-03-01,13.3
1973-04-01,37.3
1973-05-01,65.6
1973-06-01,44.2
1973-07-01,133.4
1973-08-01,54.3
1973-09-01,27.9
1973-10-01,87.1
1973-11-01,48.3
1973-12-01,26.1
1974-01-01,20.7
1974-02-01,44.0
1974-03-01,48.4
1974-04-01,24.8
1974-05-01,42.7
1974-06-01,86.3
1974-07-01,98.9
1974-08-01,63.6
1974-09-01,18.8
1974-10-01,110.1
1974-11-01,68.3
1974-12-01,71.4
1975-01-01,37.2
1975-02-01,18.1
1975-03-01,54.5
1975-04-01,42.0
1975-05-01,33.8
1975-06-01,103.4
1975-07-01,50.0
1975-08-01,48.7
1975-09-01,54.9
1975-10-01,25.8
1975-11-01,52.9
1975-12-01,21.7
1976-01-01,61.4
1976-02-01,23.0
1976-03-01,24.3
1976-04-01,11.2
1976-05-01,37.4
1976-06-01,11.1
1976-07-01,77.1
1976-08-01,4.2
1976-09-01,92.8
1976-10-01,31.5
1976-11-01,39.4
1976-12-01,51.8
1977-01-01,50.1
1977-02-01,79.1
1977-03-01,27.5
1977-04-01,25.2
1977-05-01,30.5
1977-06-01,80.9
1977-07-01,22.4
1977-08-01,73.9
1977-09-01,28.2
1977-10-01,20.9
1977-11-01,61.8
1977-12-01,48.1
1978-01-01,34.6
1978-02-01,48.5
1978-03-01,54.9
1978-04-01,19.7
1978-05-01,191.2
1978-06-01,73.5
1978-07-01,83.5
1978-08-01,20.6
1978-09-01,49.9
1978-10-01,31.5
1978-11-01,17.7
1978-12-01,102.2
1979-01-01,28.1
1979-02-01,34.9
1979-03-01,83.1
1979-04-01,58.2
1979-05-01,53.5
1979-06-01,40.7
1979-07-01,65.4
1979-08-01,35.5
1979-09-01,82.3
1979-10-01,40.4
1979-11-01,65.0
1979-12-01,57.5
1980-01-01,31.7
1980-02-01,29.7
1980-03-01,29.3
1980-04-01,49.1
1980-05-01,52.7
1980-06-01,118.6
1980-07-01,182.8
1980-08-01,58.7
1980-09-01,33.0
1980-10-01,66.5
1980-11-01,58.7
1980-12-01,38.2
1981-01-01,66.2
1981-02-01,33.0
1981-03-01,66.0
1981-04-01,87.1
1981-05-01,86.8
1981-06-01,85.5
1981-07-01,85.9
1981-08-01,48.5
1981-09-01,52.6
1981-10-01,128.7
1981-11-01,60.2
1981-12-01,100.8
1982-01-01,61.9
1982-02-01,14.8
1982-03-01,38.6
1982-04-01,36.8
1982-05-01,74.0
1982-06-01,62.9
1982-07-01,49.0
1982-08-01,38.3
1982-09-01,25.2
1982-10-01,142.3
1982-11-01,37.8
1982-12-01,97.5
1983-01-01,46.6
1983-02-01,31.5
1983-03-01,49.4
1983-04-01,110.3
1983-05-01,173.7
1983-06-01,80.3
1983-07-01,35.9
1983-08-01,19.9
1983-09-01,68.8
1983-10-01,29.9
1983-11-01,24.2
1983-12-01,43.5
1984-01-01,55.4
1984-02-01,58.0
1984-03-01,15.3
1984-04-01,40.9
1984-05-01,154.9
1984-06-01,55.9
1984-07-01,85.8
1984-08-01,21.0
1984-09-01,99.3
1984-10-01,38.5
1984-11-01,38.2
1984-12-01,30.2
1985-01-01,46.8
1985-02-01,28.7
1985-03-01,34.6
1985-04-01,37.4
1985-05-01,107.1
1985-06-01,86.5
1985-07-01,76.2
1985-08-01,50.4
1985-09-01,16.7
1985-10-01,11.3
1985-11-01,65.9
1985-12-01,44.9
1986-01-01,46.4
1986-02-01,6.9
1986-03-01,87.4
1986-04-01,60.2
1986-05-01,79.1
1986-06-01,78.9
1986-07-01,64.4
1986-08-01,79.7
1986-09-01,86.4
1986-10-01,55.4
1986-11-01,35.2
1986-12-01,41.0
1987-01-01,25.7
1987-02-01,49.2
1987-03-01,72.7
1987-04-01,27.0
1987-05-01,73.5
1987-06-01,108.7
1987-07-01,139.5
1987-08-01,71.3
1987-09-01,72.7
1987-10-01,71.8
1987-11-01,67.3
1987-12-01,30.0
1988-01-01,67.9
1988-02-01,64.6
1988-03-01,130.7
1988-04-01,45.7
1988-05-01,51.5
1988-06-01,93.4
1988-07-01,66.1
1988-08-01,37.4
1988-09-01,85.9
1988-10-01,57.8
1988-11-01,50.2
1988-12-01,69.0
1989-01-01,15.1
1989-02-01,47.0
1989-03-01,33.3
1989-04-01,112.7
1989-05-01,26.5
1989-06-01,65.2
1989-07-01,116.7
1989-08-01,61.7
1989-09-01,12.3
1989-10-01,48.9
1989-11-01,50.7
1989-12-01,72.6
1990-01-01,26.9
1990-02-01,83.2
1990-03-01,19.8
1990-04-01,31.2
1990-05-01,14.5
1990-06-01,85.4
1990-07-01,34.7
1990-08-01,22.6
1990-09-01,73.0
1990-10-01,42.4
1990-11-01,73.2
1990-12-01,63.3
1991-01-01,32.6
1991-02-01,18.3
1991-03-01,35.2
1991-04-01,27.4
1991-05-01,19.5
1991-06-01,69.9
1991-07-01,35.8
1991-08-01,11.6
1991-09-01,55.0
1991-10-01,28.0
1991-11-01,71.9
1991-12-01,41.6
1992-01-01,37.5
1992-02-01,36.3
1992-03-01,43.7
1992-04-01,38.5
1992-05-01,22.6
1992-06-01,112.6
1992-07-01,90.8
1992-08-01,56.6
1992-09-01,32.8
1992-10-01,60.3
1992-11-01,70.6
1992-12-01,43.8
1993-01-01,33.6
1993-02-01,9.7
1993-03-01,23.0
1993-04-01,23.8
1993-05-01,93.7
1993-06-01,23.4
1993-07-01,111.9
1993-08-01,26.8
1993-09-01,80.7
1993-10-01,69.6
1993-11-01,23.7
1993-12-01,106.8
